"Date","EUA_diff","NZU_diff","CCA_diff","HBEA_diff"
2014-05-05,10.7232896385428,6.28247751291316,NA,4.43907184608739
2014-05-12,23.8095386158452,76.0623088789908,NA,4.93927668786369
2014-05-19,21.9411887021603,24.1092676637006,NA,10.2569065486458
2014-05-26,9.73403057899745,39.9695398125752,NA,3.9901405158725
2014-06-02,17.8464772860425,10.875541903806,NA,6.57001287119672
2014-06-09,16.4072185158271,13.1721891792194,NA,2.828735082188
2014-06-16,13.499397756134,46.5986075324732,NA,7.64469196462893
2014-06-23,9.10899521162137,6.10668328373348,NA,5.87741788732149
2014-06-30,24.6069712613306,4.05724066200459,NA,3.39991472508589
2014-07-07,16.3981955091883,3.86220550916977,NA,4.42650969538982
2014-07-14,15.8038243028893,2.51951764206658,NA,6.12285929014822
2014-07-21,11.4702601149457,6.90713779764042,NA,42.6392588258104
2014-07-28,12.523565627246,5.51272466434947,NA,17.3966136610901
2014-08-04,12.6042303939461,0,NA,13.8432870044935
2014-08-11,12.5812490286052,5.06414769217212,NA,9.40412126551446
2014-08-18,6.28130486986085,4.21561962393096,NA,11.0740794951137
2014-08-25,6.21659388508072,17.9769838295829,NA,11.8074105188087
2014-09-01,14.4000969332538,7.55463608782083,NA,12.2696504235821
2014-09-08,9.42122705680695,7.31449866393965,NA,2.27475040731915
2014-09-15,13.3799961016386,6.74112174187817,NA,6.02610755714236
2014-09-22,24.0962368326598,2.1814535515103,NA,1.49697757039655
2014-09-29,10.7314925821624,8.38160069714487,NA,3.82848742064484
2014-10-06,19.3845619432433,3.68564362571652,NA,7.69805168099775
2014-10-13,6.32627526496806,7.21999580352632,NA,6.77770568026958
2014-10-20,5.38709265754196,9.06256085640502,NA,16.1782589578511
2014-10-27,16.2087120596331,7.82646235216698,NA,3.20329376245509
2014-11-03,13.4337727899242,9.27214888789334,NA,12.8632321456615
2014-11-10,10.613939109061,13.1847545447947,NA,12.3789312924223
2014-11-17,14.2721524636571,6.24025201919957,NA,4.9416827885502
2014-11-24,7.5121437754425,8.38168724970634,NA,3.33088103460987
2014-12-01,12.3750764043547,29.7261558737377,NA,6.19770623513457
2014-12-08,15.0100809019275,51.465010866788,NA,10.0099165465463
2014-12-15,8.37326840190842,12.8690646877617,NA,5.17551403482264
2014-12-22,6.53865024362357,8.28880742687393,NA,1.38488164700547
2014-12-29,8.35876971524858,26.0523577989063,NA,2.25386346032091
2015-01-05,7.56532604445726,11.3607553803594,NA,19.6560686418315
2015-01-12,28.9142061954566,15.1430953327083,1.59213991273008,1.75608154427046
2015-01-19,26.3148212410793,2.67628349312646,0.725670884470959,6.56452179386863
2015-01-26,6.18775473578349,7.8391554857565,0.608582184731096,10.1272683804898
2015-02-02,9.91067248168043,9.29607187007054,8.55380721547679,5.01599509648684
2015-02-09,9.70928960279984,8.14431797991796,0.561831158217943,1.44026334627916
2015-02-16,9.55732921084685,3.1486861435197,1.18997008816981,33.4625358675333
2015-02-23,25.598500041691,7.50851933951002,4.81641737015103,0
2015-03-02,21.6570308630768,26.4343069805427,14.8700898966103,48.226547163849
2015-03-09,19.0899246928972,2.48905453795389,1.2094141371707,34.082220151144
2015-03-16,18.9658508981949,4.96148724980329,0.845274696897599,12.895667675098
2015-03-23,8.27313575592758,9.08781097307916,0.312104894234166,20.6933426911547
2015-03-30,10.3515406453224,7.42617066736402,2.49006377951547,58.7356752291434
2015-04-06,4.7569980511374,9.26410891148292,0.312475068882669,27.3222401598001
2015-04-13,10.0408315903413,10.5008796985736,0.475808936210864,7.73992359066437
2015-04-20,14.1720177777502,10.2167866865918,1.03091295707268,14.7247349000515
2015-04-27,11.8058211128597,17.9190578988348,10.3221037940838,34.0345641975985
2015-05-04,12.7746277699128,3.01771145536666,0.762055185071271,9.26873471664129
2015-05-11,4.6291012644072,11.344414814896,0.508184129390356,19.4372090614573
2015-05-18,8.39477389329589,15.1667148982204,0.803872466256482,22.0725356875331
2015-05-25,6.91836447320398,3.79796282209156,0.766313968341162,11.3837860592052
2015-06-01,11.3505033557778,28.4399835714081,1.4683226394595,35.9141571397223
2015-06-08,6.19297158916496,34.7698611377969,1.42820263763094,5.04490812027696
2015-06-15,5.39660286355855,23.7468098740818,0.310754119275363,17.3681105706533
2015-06-22,5.97548739088762,7.88596483305947,1.0146568432621,1.67900032603361
2015-06-29,8.79799254119078,14.2082174500784,6.32779819153638,27.9485313152169
2015-07-06,7.64192708921881,4.31004387683147,0.310022358692254,17.7358233802593
2015-07-13,10.1464699275942,2.29531438077049,0.895521128962421,24.963545199243
2015-07-20,13.0333301407576,13.6157504071482,0.62203839545684,11.823691104997
2015-07-27,7.72188186648665,4.33697217067339,1.01705683190452,23.9328263588393
2015-08-03,5.89576503206485,11.3305548955329,4.32945362828574,90.2981346062136
2015-08-10,5.91678746256205,6.98134418673623,0.310265895665144,17.9742140208662
2015-08-17,9.3045732713418,8.35691581777689,0.505743302912439,25.7623022002562
